nodeid,baseline_outcome,final_outcome,failure_set_change,root_cause,affects_our_drawio_workflow,evidence,final_note
tests/test_devices.py::test_every_registered_symbol_is_claimed_exactly_once,FAILED,failed,retained,device_generator_claims,no,"scripts/gen_devices.py claims gate fails before generation; runtime units, spec and discovery use the registered symbols directly. No drawing is missing from the runtime catalogue. Deferred generator bookkeeping.",
tests/test_devices.py::test_the_committed_module_matches_the_generator,FAILED,failed,retained,device_generator_claims,no,"scripts/gen_devices.py claims gate fails before generation; runtime units, spec and discovery use the registered symbols directly. No drawing is missing from the runtime catalogue. Deferred generator bookkeeping.",
tests/test_symbol_invariants.py::test_a_symbol_redrawn_at_a_new_size_draws_the_ink_it_was_drawn_from[junction/default-0.4x1.7],FAILED,failed,retained,junction_bake,no,"_uneven detects only declared strokes, so the SVG filled dot is not baked. Native Junction rendering uses mxGraph primitives and never calls _baked.",
tests/test_symbol_invariants.py::test_a_symbol_redrawn_at_a_new_size_draws_the_ink_it_was_drawn_from[junction/default-1.0x2.5],FAILED,failed,retained,junction_bake,no,"_uneven detects only declared strokes, so the SVG filled dot is not baked. Native Junction rendering uses mxGraph primitives and never calls _baked.",
tests/test_symbol_invariants.py::test_a_symbol_redrawn_at_a_new_size_draws_the_ink_it_was_drawn_from[junction/default-2.0x1.0],FAILED,failed,retained,junction_bake,no,"_uneven detects only declared strokes, so the SVG filled dot is not baked. Native Junction rendering uses mxGraph primitives and never calls _baked.",
tests/test_symbol_invariants.py::test_a_symbol_redrawn_at_a_new_size_draws_the_ink_it_was_drawn_from[junction/default-3.0x0.5],FAILED,failed,retained,junction_bake,no,"_uneven detects only declared strokes, so the SVG filled dot is not baked. Native Junction rendering uses mxGraph primitives and never calls _baked.",
tests/test_line_weight.py::test_every_symbol_declares_a_pen_centred_on_the_sheet_weight,FAILED,failed,retained,junction_stroke,no,"The marker is a solid fill, so universal stroked-symbol assertions reject it. Native drawio._shape emits its own ellipse/header with explicit strokeWidth and fill.",
tests/test_symbol_invariants.py::test_svg_is_well_formed_and_declares_stroke_width[junction/default],FAILED,failed,retained,junction_stroke,no,"The marker is a solid fill, so universal stroked-symbol assertions reject it. Native drawio._shape emits its own ellipse/header with explicit strokeWidth and fill.",
tests/test_titleblock.py::test_every_registered_kind_names_itself,FAILED,passed,removed,kind_labels,no,The failure checks vocabulary completeness. document._describe already produced readable fallback names for the three house equipment kinds; geometry was unaffected. Added explicit labels and Pipe Junction for explicitly included schedule rows as a small catalogue repair.,
tests/test_port_annotations.py::test_a_family_only_excuses_a_numbered_nozzle[BasinAgitator],FAILED,passed,removed,port_annotations,no,"Port annotations serve editors and static checkers; templates and the native writer use actual unit.ports/family attributes, which already existed. Fixed the missing Port/family declarations and explicit ConcreteBasin test inventory as a small authoring-contract repair; no runtime nozzle identity was changed.",
tests/test_port_annotations.py::test_a_family_only_excuses_a_numbered_nozzle[SubmersibleMixer],FAILED,passed,removed,port_annotations,no,"Port annotations serve editors and static checkers; templates and the native writer use actual unit.ports/family attributes, which already existed. Fixed the missing Port/family declarations and explicit ConcreteBasin test inventory as a small authoring-contract repair; no runtime nozzle identity was changed.",
tests/test_port_annotations.py::test_every_port_built_is_annotated[BasinAgitator],FAILED,passed,removed,port_annotations,no,"Port annotations serve editors and static checkers; templates and the native writer use actual unit.ports/family attributes, which already existed. Fixed the missing Port/family declarations and explicit ConcreteBasin test inventory as a small authoring-contract repair; no runtime nozzle identity was changed.",
tests/test_port_annotations.py::test_every_port_built_is_annotated[ConcreteBasin],FAILED,passed,removed,port_annotations,no,"Port annotations serve editors and static checkers; templates and the native writer use actual unit.ports/family attributes, which already existed. Fixed the missing Port/family declarations and explicit ConcreteBasin test inventory as a small authoring-contract repair; no runtime nozzle identity was changed.",
tests/test_port_annotations.py::test_every_port_built_is_annotated[SubmersibleMixer],FAILED,passed,removed,port_annotations,no,"Port annotations serve editors and static checkers; templates and the native writer use actual unit.ports/family attributes, which already existed. Fixed the missing Port/family declarations and explicit ConcreteBasin test inventory as a small authoring-contract repair; no runtime nozzle identity was changed.",
tests/test_show.py::test_the_window_draws_the_sheet_scaled_to_the_window,FAILED,failed,retained,preview_dependency,no,"test_show invokes pandid SVG-to-PNG preview, not native draw.io Desktop PDF export. No package install was authorized.",
tests/test_route_invariants.py::test_route_endpoints_sit_on_their_ports[03_distillation_train],FAILED,passed,removed,route_anchor_contract,yes,"square_micro_jogs, protect and crossing repair share routes with draw.io. port_anchor is the box boundary; port_point is the nozzle. Fix preserves both. Original 4-10 px discrepancies were not proof of visible gaps: native edges already attach to port_point.",
tests/test_route_invariants.py::test_route_endpoints_sit_on_their_ports[05_reactor_recycle],FAILED,passed,removed,route_anchor_contract,yes,"square_micro_jogs, protect and crossing repair share routes with draw.io. port_anchor is the box boundary; port_point is the nozzle. Fix preserves both. Original 4-10 px discrepancies were not proof of visible gaps: native edges already attach to port_point.",
tests/test_route_invariants.py::test_route_endpoints_sit_on_their_ports[06_column_reflux],FAILED,passed,removed,route_anchor_contract,yes,"square_micro_jogs, protect and crossing repair share routes with draw.io. port_anchor is the box boundary; port_point is the nozzle. Fix preserves both. Original 4-10 px discrepancies were not proof of visible gaps: native edges already attach to port_point.",
tests/test_route_invariants.py::test_route_endpoints_sit_on_their_ports[10_ethanol_pfd],FAILED,passed,removed,route_anchor_contract,yes,"square_micro_jogs, protect and crossing repair share routes with draw.io. port_anchor is the box boundary; port_point is the nozzle. Fix preserves both. Original 4-10 px discrepancies were not proof of visible gaps: native edges already attach to port_point.",
tests/test_route_invariants.py::test_route_endpoints_sit_on_their_ports[11_ethanol_pid],FAILED,passed,removed,route_anchor_contract,yes,"square_micro_jogs, protect and crossing repair share routes with draw.io. port_anchor is the box boundary; port_point is the nozzle. Fix preserves both. Original 4-10 px discrepancies were not proof of visible gaps: native edges already attach to port_point.",
tests/test_route_invariants.py::test_route_endpoints_sit_on_their_ports[13_mineral_dewatering],FAILED,passed,removed,route_anchor_contract,yes,"square_micro_jogs, protect and crossing repair share routes with draw.io. port_anchor is the box boundary; port_point is the nozzle. Fix preserves both. Original 4-10 px discrepancies were not proof of visible gaps: native edges already attach to port_point.",
tests/test_route_invariants.py::test_route_endpoints_sit_on_their_ports[14_tank_farm],FAILED,passed,removed,route_anchor_contract,yes,"square_micro_jogs, protect and crossing repair share routes with draw.io. port_anchor is the box boundary; port_point is the nozzle. Fix preserves both. Original 4-10 px discrepancies were not proof of visible gaps: native edges already attach to port_point.",
tests/test_route_invariants.py::test_route_endpoints_sit_on_their_ports[15_condensing_turbine],FAILED,passed,removed,route_anchor_contract,yes,"square_micro_jogs, protect and crossing repair share routes with draw.io. port_anchor is the box boundary; port_point is the nozzle. Fix preserves both. Original 4-10 px discrepancies were not proof of visible gaps: native edges already attach to port_point.",
tests/test_route_invariants.py::test_route_endpoints_sit_on_their_ports[16_demineralised_water],FAILED,passed,removed,route_anchor_contract,yes,"square_micro_jogs, protect and crossing repair share routes with draw.io. port_anchor is the box boundary; port_point is the nozzle. Fix preserves both. Original 4-10 px discrepancies were not proof of visible gaps: native edges already attach to port_point.",
tests/test_route_invariants.py::test_route_endpoints_sit_on_their_ports[18_fixed_bed_recycle],FAILED,passed,removed,route_anchor_contract,yes,"square_micro_jogs, protect and crossing repair share routes with draw.io. port_anchor is the box boundary; port_point is the nozzle. Fix preserves both. Original 4-10 px discrepancies were not proof of visible gaps: native edges already attach to port_point.",
tests/test_route_invariants.py::test_route_endpoints_sit_on_their_ports[19_absorber_stripper],FAILED,passed,removed,route_anchor_contract,yes,"square_micro_jogs, protect and crossing repair share routes with draw.io. port_anchor is the box boundary; port_point is the nozzle. Fix preserves both. Original 4-10 px discrepancies were not proof of visible gaps: native edges already attach to port_point.",
tests/test_route_invariants.py::test_route_endpoints_sit_on_their_ports[21_alumina_refinery],FAILED,passed,removed,route_anchor_contract,yes,"square_micro_jogs, protect and crossing repair share routes with draw.io. port_anchor is the box boundary; port_point is the nozzle. Fix preserves both. Original 4-10 px discrepancies were not proof of visible gaps: native edges already attach to port_point.",
tests/test_line_numbers.py::test_a_schedule_round_trips_through_a_spec,FAILED,passed,removed,stream_serialization,no,"The three failures compare exact spec dictionaries. Both old and corrected specs render main flow identically; the reader already accepts it. Omitting the redundant default restores the established minimal writer contract, while secondary remains explicit and still controls native line weight.",
tests/test_line_numbers.py::test_line_numbers_round_trip_through_a_spec,FAILED,passed,removed,stream_serialization,no,"The three failures compare exact spec dictionaries. Both old and corrected specs render main flow identically; the reader already accepts it. Omitting the redundant default restores the established minimal writer contract, while secondary remains explicit and still controls native line weight.",
tests/test_serialize.py::test_to_dict_captures_topology,FAILED,passed,removed,stream_serialization,no,"The three failures compare exact spec dictionaries. Both old and corrected specs render main flow identically; the reader already accepts it. Omitting the redundant default restores the established minimal writer contract, while secondary remains explicit and still controls native line weight.",
tests/test_gallery.py::test_the_committed_sheet_is_what_the_example_draws_today[03_distillation_train],FAILED,failed,retained,svg_fixtures,no,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.,
tests/test_gallery.py::test_the_committed_sheet_is_what_the_example_draws_today[08_from_data],FAILED,failed,retained,svg_fixtures,no,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.,
tests/test_gallery.py::test_the_committed_sheet_is_what_the_example_draws_today[09_line_numbers],FAILED,failed,retained,svg_fixtures,no,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.,
tests/test_gallery.py::test_the_committed_sheet_is_what_the_example_draws_today[15_condensing_turbine],FAILED,failed,retained,svg_fixtures,no,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.,
tests/test_gallery.py::test_the_committed_sheet_is_what_the_example_draws_today[18_fixed_bed_recycle],FAILED,failed,retained,svg_fixtures,no,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.,
tests/test_gallery.py::test_the_committed_sheet_is_what_the_example_draws_today[21_alumina_refinery],FAILED,failed,retained,svg_fixtures,no,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.,
tests/test_golden.py::test_a_version_bump_does_not_move_a_fixture,FAILED,failed,retained,svg_fixtures,no,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.,
tests/test_golden.py::test_golden_svg[03_distillation_train],FAILED,failed,retained,svg_fixtures,no,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.,
tests/test_golden.py::test_golden_svg[08_from_data],FAILED,failed,retained,svg_fixtures,no,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.,
tests/test_golden.py::test_golden_svg[09_line_numbers],FAILED,failed,retained,svg_fixtures,no,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.,
tests/test_golden.py::test_golden_svg[15_condensing_turbine],FAILED,failed,retained,svg_fixtures,no,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.,
tests/test_golden.py::test_golden_svg[18_fixed_bed_recycle],FAILED,failed,retained,svg_fixtures,no,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.,
tests/test_golden.py::test_golden_svg[21_alumina_refinery],FAILED,failed,retained,svg_fixtures,no,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.,
tests/test_golden.py::test_the_example_draws_the_same_sheet_as_its_fixture[03_distillation_train],FAILED,failed,retained,svg_fixtures,no,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.,
tests/test_golden.py::test_the_example_draws_the_same_sheet_as_its_fixture[08_from_data],FAILED,failed,retained,svg_fixtures,no,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.,
tests/test_golden.py::test_the_example_draws_the_same_sheet_as_its_fixture[09_line_numbers],FAILED,failed,retained,svg_fixtures,no,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.,
tests/test_golden.py::test_the_example_draws_the_same_sheet_as_its_fixture[15_condensing_turbine],FAILED,failed,retained,svg_fixtures,no,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.,
tests/test_golden.py::test_the_example_draws_the_same_sheet_as_its_fixture[18_fixed_bed_recycle],FAILED,failed,retained,svg_fixtures,no,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.,
tests/test_golden.py::test_the_example_draws_the_same_sheet_as_its_fixture[21_alumina_refinery],FAILED,failed,retained,svg_fixtures,no,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.,
tests/test_symbol_invariants.py::test_a_symbol_redrawn_at_a_new_size_draws_the_ink_it_was_drawn_from[airlift/default-0.4x1.7],FAILED,failed,retained,svg_quadratic_direct,no,"The direct _baked Q tests still fail. Native uses the original <quad> instructions, verified through Desktop export; no _baked call occurs on that path.",
tests/test_symbol_invariants.py::test_a_symbol_redrawn_at_a_new_size_draws_the_ink_it_was_drawn_from[airlift/default-1.0x2.5],FAILED,failed,retained,svg_quadratic_direct,no,"The direct _baked Q tests still fail. Native uses the original <quad> instructions, verified through Desktop export; no _baked call occurs on that path.",
tests/test_symbol_invariants.py::test_a_symbol_redrawn_at_a_new_size_draws_the_ink_it_was_drawn_from[airlift/default-2.0x1.0],FAILED,failed,retained,svg_quadratic_direct,no,"The direct _baked Q tests still fail. Native uses the original <quad> instructions, verified through Desktop export; no _baked call occurs on that path.",
tests/test_symbol_invariants.py::test_a_symbol_redrawn_at_a_new_size_draws_the_ink_it_was_drawn_from[airlift/default-3.0x0.5],FAILED,failed,retained,svg_quadratic_direct,no,"The direct _baked Q tests still fail. Native uses the original <quad> instructions, verified through Desktop export; no _baked call occurs on that path.",
tests/test_symbol_invariants.py::test_every_drawing_survives_being_scaled[airlift/default],FAILED,failed,retained,svg_quadratic_direct,no,"The direct _baked Q tests still fail. Native uses the original <quad> instructions, verified through Desktop export; no _baked call occurs on that path.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[air_diffuser/default],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[airlift/default],ERROR,failed,retained,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.","Setup error cleared; this now reaches the pre-existing open-mouth stroke-proximity assertion, which rejects the airlift liquid inlet."
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[basin_agitator/default],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[block/default],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[blower/default],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[blower/gas],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[boiler/default],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[centrifuge/decanter],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[centrifuge/default],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[centrifuge/disc],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[centrifuge/high_speed],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[centrifuge/perforated_shell],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[centrifuge/pusher],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[centrifuge/screw_perforated],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[centrifuge/skimmer],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[centrifuge/solid_shell],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[column/default],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[column/packed],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[compressor/default],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
